x,y,z
5.893022010703901081e-01,-9.550721455301605656e-02,1.827824168919514880e-01
5.893290296859459154e-01,-1.021538765401536764e-01,1.866233374668824496e-01
5.893629286814902057e-01,-1.088658309141414121e-01,1.902922104588502805e-01
5.894012594026043494e-01,-1.156345718777786885e-01,1.937917301527660174e-01
5.894416903659892570e-01,-1.224519475343302799e-01,1.971244866636282789e-01
5.894821663058559258e-01,-1.293101366512022510e-01,2.002929839635982090e-01
5.895208803608243953e-01,-1.362016279041712297e-01,2.032996557608189314e-01
5.895562490801453670e-01,-1.431192013449601452e-01,2.061468794606191313e-01
5.895868899572758171e-01,-1.500559118389861446e-01,2.088369883937350457e-01
5.896116012242207383e-01,-1.570050741427151952e-01,2.113722823989515887e-01
5.896293437116225666e-01,-1.639602498757407323e-01,2.137550372963432921e-01
5.896392245027813894e-01,-1.709152355340269880e-01,2.159875128098774355e-01
5.896404354674493753e-01,-1.778662471794379418e-01,2.180733261617217589e-01
5.895171756529281604e-01,-1.868910277254595131e-01,2.211659898298454219e-01
5.892891176252412766e-01,-1.957542174222878795e-01,2.237695862309578843e-01
5.889633164674118460e-01,-2.044446292865716441e-01,2.259081892094681465e-01
5.885466239016993173e-01,-2.129521828778194459e-01,2.276054932058324265e-01
5.880456845020417544e-01,-2.212678598345649006e-01,2.288847800808808952e-01
5.874669326339386766e-01,-2.293836596411142625e-01,2.297688889890383834e-01
5.868165900882422736e-01,-2.372925556925550572e-01,2.302801891745117902e-01
5.861006643698086771e-01,-2.449884517541333906e-01,2.304405555779861225e-01
5.853249476048123512e-01,-2.524661388930454775e-01,2.302713471373639686e-01
5.844950160310015130e-01,-2.597212529563975858e-01,2.297933876675170850e-01
5.836162300359505339e-01,-2.667502326632684162e-01,2.290269492048949418e-01
5.826937347095023645e-01,-2.735502783727314924e-01,2.279917377045923843e-01
5.817324608766168970e-01,-2.801193115854446747e-01,2.267068809770833304e-01
5.807371265791793080e-01,-2.864559352290813599e-01,2.251909187563279069e-01
5.797122389748121662e-01,-2.925593947749029478e-01,2.234617947897244439e-01
5.786620966225436424e-01,-2.984295402266391450e-01,2.215368508440236361e-01
5.775907921258525146e-01,-3.040667890186114497e-01,2.194328225227390738e-01
5.765022151046228505e-01,-3.094720898555128330e-01,2.171658367928081257e-01
5.754000554685164692e-01,-3.146468875219951000e-01,2.147514111205035825e-01
5.742878069652550543e-01,-3.195930886861516607e-01,2.122044541189440081e-01
5.725599974736277353e-01,-3.228399759288851367e-01,2.109365742868848370e-01
