%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8
85709000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85709000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85710000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85711000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85712000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85713000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85714000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85715000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85716000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85717000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85718000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85719000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85720000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85721000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85722000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85723000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85724000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85725000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85726000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85727000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85728000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85729000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85730000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85731000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85732000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85733000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85734000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85735000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85736000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85737000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85738000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85739000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85740000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85741000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85742000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85743000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85744000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85745000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85746000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85747000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85748000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85749000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85750000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85751000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85752000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85753000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85754000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85755000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85756000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85757000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85758000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85759000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85760000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85761000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85762000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85763000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85764000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85765000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85766000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85767000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85768000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85769000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85770000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85771000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85772000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85773000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85774000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85775000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85776000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85777000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85778000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85779000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85780000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85781000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85782000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85783000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85784000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85785000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85786000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85787000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85788000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85789000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85790000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85791000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85792000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85793000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85794000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85795000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85796000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85797000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85798000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85799000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85800000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85801000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85802000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85803000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85804000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85805000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85806000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85807000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85808000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85809000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85810000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85811000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85812000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85813000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85814000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85815000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85816000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85817000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85818000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85819000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85820000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85821000000,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
