%time,field.data
41509000000,1.0
41509000000,1.0
41509000000,1.0
41509000000,1.0
41509000000,1.0
41509000000,1.0
41509000000,1.0
41509000000,1.0
41509000000,1.0
41510000000,1.0
41511000000,1.0
41512000000,1.0
41513000000,1.0
41514000000,1.0
41515000000,1.0
41516000000,1.0
41517000000,1.0
41518000000,1.0
41519000000,1.0
41520000000,1.0
41521000000,1.0
41522000000,1.0
41523000000,1.0
41524000000,1.0
41525000000,1.0
41526000000,1.0
41527000000,1.0
41528000000,1.0
41529000000,1.0
41530000000,1.0
41531000000,1.0
41532000000,1.0
41533000000,1.0
41534000000,1.0
41535000000,1.0
41536000000,1.0
41537000000,1.0
41538000000,1.0
41539000000,1.0
41539000000,1.0
41541000000,1.0
41542000000,1.0
41543000000,1.0
41544000000,1.0
41545000000,1.0
41546000000,1.0
41547000000,1.0
41548000000,1.0
41549000000,1.0
41550000000,1.0
41551000000,1.0
41552000000,1.0
41553000000,1.0
41554000000,1.0
41555000000,1.0
41556000000,1.0
41557000000,1.0
41558000000,1.0
41559000000,1.0
41560000000,1.0
41561000000,1.0
41562000000,1.0
41563000000,1.0
41564000000,1.0
41565000000,1.0
41566000000,1.0
41567000000,1.0
41568000000,1.0
41569000000,1.0
41570000000,1.0
41571000000,1.0
41572000000,1.0
41573000000,1.0
41574000000,1.0
41575000000,1.0
41576000000,1.0
41577000000,1.0
41578000000,1.0
41579000000,1.0
41580000000,1.0
41581000000,1.0
41582000000,1.0
41583000000,1.0
41584000000,1.0
41585000000,1.0
41586000000,1.0
41587000000,1.0
41588000000,1.0
41589000000,1.0
41590000000,1.0
41591000000,1.0
41592000000,1.0
41593000000,1.0
41594000000,1.0
41595000000,1.0
41596000000,1.0
41597000000,1.0
41598000000,1.0
41599000000,1.0
41600000000,1.0
41601000000,1.0
41602000000,1.0
41603000000,1.0
41604000000,1.0
41605000000,1.0
41606000000,1.0
41607000000,1.0
41608000000,1.0
41609000000,1.0
41610000000,1.0
41611000000,1.0
41612000000,1.0
41613000000,1.0
41614000000,1.0
41615000000,1.0
41616000000,1.0
41617000000,1.0
41618000000,1.0
41619000000,1.0
41620000000,1.0
41621000000,1.0
41622000000,1.0
41623000000,1.0
41624000000,1.0
41625000000,1.0
41626000000,1.0
41627000000,1.0
41628000000,1.0
41629000000,1.0
41630000000,1.0
41631000000,1.0
41632000000,1.0
41633000000,1.0
41634000000,1.0
41635000000,1.0
41636000000,1.0
41637000000,1.0
41638000000,1.0
41639000000,1.0
41640000000,1.0
41641000000,1.0
41642000000,1.0
41643000000,1.0
41644000000,1.0
41645000000,1.0
41646000000,1.0
41647000000,1.0
41648000000,1.0
41649000000,1.0
41650000000,1.0
41651000000,1.0
41652000000,1.0
41653000000,1.0
41654000000,1.0
41655000000,1.0
41656000000,1.0
41657000000,1.0
41658000000,1.0
41659000000,1.0
41660000000,1.0
41661000000,1.0
41662000000,1.0
41663000000,1.0
41664000000,1.0
41665000000,1.0
41666000000,1.0
41667000000,1.0
41668000000,1.0
41669000000,1.0
41670000000,1.0
41671000000,1.0
41672000000,1.0
41673000000,1.0
41674000000,1.0
41675000000,1.0
41676000000,1.0
41677000000,1.0
41678000000,1.0
41679000000,1.0
41680000000,1.0
41681000000,1.0
41682000000,1.0
41683000000,1.0
41684000000,1.0
41685000000,1.0
41686000000,1.0
41687000000,1.0
41688000000,1.0
41689000000,1.0
41690000000,1.0
41691000000,1.0
41692000000,1.0
41693000000,1.0
41694000000,1.0
41695000000,1.0
41696000000,1.0
41697000000,1.0
41698000000,1.0
41699000000,1.0
41700000000,1.0
41701000000,1.0
41702000000,1.0
41703000000,1.0
41704000000,1.0
41705000000,1.0
41706000000,1.0
41707000000,1.0
41708000000,1.0
41709000000,1.0
41710000000,1.0
41711000000,1.0
41712000000,1.0
41713000000,1.0
41714000000,1.0
41715000000,1.0
41716000000,1.0
41717000000,1.0
41718000000,1.0
41719000000,1.0
41720000000,1.0
41721000000,1.0
41722000000,1.0
41723000000,1.0
41724000000,1.0
41725000000,1.0
41726000000,1.0
41727000000,1.0
41728000000,1.0
41729000000,1.0
41730000000,1.0
41731000000,1.0
41732000000,1.0
41733000000,1.0
41734000000,1.0
41735000000,1.0
41736000000,1.0
41737000000,1.0
41738000000,1.0
41739000000,1.0
41740000000,1.0
41741000000,1.0
41742000000,1.0
41743000000,1.0
41744000000,1.0
41745000000,1.0
41746000000,1.0
41747000000,1.0
41748000000,1.0
41749000000,1.0
41750000000,1.0
41751000000,1.0
41752000000,1.0
41753000000,1.0
41754000000,1.0
41755000000,1.0
41756000000,1.0
41757000000,1.0
41758000000,1.0
41759000000,1.0
41760000000,1.0
41761000000,1.0
41762000000,1.0
41763000000,1.0
41764000000,1.0
41765000000,1.0
41766000000,1.0
41767000000,1.0
41768000000,1.0
41769000000,1.0
41770000000,1.0
41771000000,1.0
41772000000,1.0
41773000000,1.0
41774000000,1.0
41775000000,1.0
41776000000,1.0
41777000000,1.0
41778000000,1.0
41779000000,1.0
41780000000,1.0
41781000000,1.0
41782000000,1.0
41783000000,1.0
41784000000,1.0
41785000000,1.0
41786000000,1.0
41787000000,1.0
41788000000,1.0
41789000000,1.0
41790000000,1.0
41791000000,1.0
41792000000,1.0
41793000000,1.0
41794000000,1.0
41795000000,1.0
41796000000,1.0
41797000000,1.0
41798000000,1.0
41799000000,1.0
41800000000,1.0
41801000000,1.0
41802000000,1.0
41803000000,1.0
41804000000,1.0
41805000000,1.0
41806000000,1.0
41807000000,1.0
41808000000,1.0
41809000000,1.0
41810000000,1.0
41811000000,1.0
41812000000,1.0
41813000000,1.0
41814000000,1.0
41815000000,1.0
41816000000,1.0
41817000000,1.0
41818000000,1.0
41819000000,1.0
41820000000,1.0
41821000000,1.0
41822000000,1.0
41823000000,1.0
41824000000,1.0
41825000000,1.0
41826000000,1.0
41827000000,1.0
41828000000,1.0
41829000000,1.0
41830000000,1.0
41831000000,1.0
41832000000,1.0
41833000000,1.0
41834000000,1.0
41835000000,1.0
41836000000,1.0
41837000000,1.0
41838000000,1.0
41839000000,1.0
41840000000,1.0
41841000000,1.0
41842000000,1.0
41843000000,1.0
41844000000,1.0
41845000000,1.0
41846000000,1.0
41847000000,1.0
41848000000,1.0
41849000000,1.0
41850000000,1.0
41851000000,1.0
41852000000,1.0
41853000000,1.0
41854000000,1.0
41855000000,1.0
41856000000,1.0
41857000000,1.0
41858000000,1.0
41859000000,1.0
41860000000,1.0
41861000000,1.0
41862000000,1.0
41863000000,1.0
41864000000,1.0
41865000000,1.0
41866000000,1.0
41867000000,1.0
41868000000,1.0
41869000000,1.0
41870000000,1.0
41871000000,1.0
41872000000,1.0
41873000000,1.0
41874000000,1.0
41875000000,1.0
41876000000,1.0
41877000000,1.0
41878000000,1.0
41879000000,1.0
41880000000,1.0
41881000000,1.0
41882000000,1.0
41883000000,1.0
41884000000,1.0
41885000000,1.0
41886000000,1.0
41887000000,1.0
41888000000,1.0
41889000000,1.0
41890000000,1.0
41891000000,1.0
41892000000,1.0
41893000000,1.0
41894000000,1.0
41895000000,1.0
41896000000,1.0
41897000000,1.0
41898000000,1.0
41899000000,1.0
41900000000,1.0
41901000000,1.0
41902000000,1.0
41903000000,1.0
41904000000,1.0
41905000000,1.0
41906000000,1.0
41907000000,1.0
41908000000,1.0
41909000000,1.0
41910000000,1.0
41911000000,1.0
41912000000,1.0
41913000000,1.0
41914000000,1.0
41915000000,1.0
41916000000,1.0
41917000000,1.0
41918000000,1.0
41919000000,1.0
41920000000,1.0
41921000000,1.0
41922000000,1.0
41923000000,1.0
41924000000,1.0
41925000000,1.0
41926000000,1.0
41927000000,1.0
41928000000,1.0
41929000000,1.0
41930000000,1.0
41931000000,1.0
41932000000,1.0
41933000000,1.0
41934000000,1.0
41935000000,1.0
41936000000,1.0
41937000000,1.0
41938000000,1.0
41939000000,1.0
41940000000,1.0
41941000000,1.0
41942000000,1.0
41943000000,1.0
41944000000,1.0
41945000000,1.0
41946000000,1.0
41947000000,1.0
41948000000,1.0
41949000000,1.0
41950000000,1.0
41951000000,1.0
41952000000,1.0
41953000000,1.0
41954000000,1.0
41955000000,1.0
41956000000,1.0
41957000000,1.0
41958000000,1.0
41959000000,1.0
41960000000,1.0
41961000000,1.0
41962000000,1.0
41963000000,1.0
41964000000,1.0
41965000000,1.0
41966000000,1.0
41967000000,1.0
41968000000,1.0
41969000000,1.0
41970000000,1.0
41971000000,1.0
41972000000,1.0
41973000000,1.0
41974000000,1.0
41975000000,1.0
41976000000,1.0
41977000000,1.0
41978000000,1.0
41979000000,1.0
41980000000,1.0
41981000000,1.0
41982000000,1.0
41983000000,1.0
41984000000,1.0
41985000000,1.0
41986000000,1.0
41987000000,1.0
41988000000,1.0
41989000000,1.0
41990000000,1.0
41991000000,1.0
41992000000,1.0
41993000000,1.0
41994000000,1.0
41995000000,1.0
41996000000,1.0
41997000000,1.0
41998000000,1.0
41999000000,1.0
42000000000,1.0
42001000000,1.0
42002000000,1.0
42003000000,1.0
42004000000,1.0
42005000000,1.0
42006000000,1.0
