%time,field.data
364277000000,2.9459511972234698e-05
364278000000,9.198459356627659e-06
364279000000,1.4741288189796344e-05
364280000000,2.94655515032872e-05
364281000000,9.198337117238866e-06
364282000000,1.4737816187557635e-05
364283000000,2.947158497858287e-05
364284000000,9.19821527550202e-06
364285000000,1.4734347814283449e-05
364286000000,2.947761240210307e-05
364287000000,9.19809382890323e-06
364288000000,1.4730883064943539e-05
364289000000,2.948363377891543e-05
364290000000,9.197972773824636e-06
364291000000,1.4727421935062145e-05
364292000000,2.9489649114247838e-05
364293000000,9.197852107877702e-06
364294000000,1.4723964420636534e-05
364295000000,2.9495658412414224e-05
364296000000,9.197731828050424e-06
364297000000,1.4720510516969486e-05
364298000000,2.95016616798179e-05
364299000000,9.197611931690499e-06
364300000000,1.4717060219867424e-05
364301000000,2.9507658920066026e-05
364302000000,9.197492416055131e-06
364303000000,1.4713613524576137e-05
364304000000,2.9513650139943394e-05
364305000000,9.197373277996824e-06
364306000000,1.4710170427302123e-05
364307000000,2.9519635342886845e-05
364308000000,9.19725451471341e-06
364309000000,1.4706730922922735e-05
364310000000,2.9525614535199346e-05
364311000000,9.19713612341173e-06
364312000000,1.4703295007387462e-05
364313000000,2.953158772062178e-05
364314000000,9.197018101744843e-06
364315000000,1.4699862676384039e-05
364316000000,2.953755490504425e-05
364317000000,9.196900446250514e-06
364318000000,1.469643392488583e-05
364319000000,2.954351609367522e-05
364320000000,9.1967831549177e-06
364321000000,1.4693008749211059e-05
364322000000,2.954947129207725e-05
364323000000,9.196666224131416e-06
364324000000,1.4689587145519915e-05
364325000000,2.9555420503316396e-05
364326000000,9.196549651501563e-06
364327000000,1.4686169107905911e-05
364328000000,2.9561363734391385e-05
364329000000,9.196433434313639e-06
364330000000,1.4682754632778001e-05
364331000000,2.9567300989825728e-05
364332000000,9.196317570266087e-06
364333000000,1.4679343715765234e-05
364334000000,2.9573232273431676e-05
364335000000,9.196202055440406e-06
364336000000,1.4675936352609807e-05
364337000000,2.9579157593142193e-05
364338000000,9.196086888248064e-06
364339000000,1.4672532538357122e-05
364340000000,2.9585076951401145e-05
364341000000,9.195972065921852e-06
364342000000,1.4669132269039466e-05
364343000000,2.959099035410834e-05
364344000000,9.19585758525767e-06
364345000000,1.4665735540063387e-05
364346000000,2.9596897806305854e-05
364347000000,9.195743443149046e-06
364348000000,1.4662342347441228e-05
364349000000,2.9602799314146825e-05
364350000000,9.195629637832616e-06
364351000000,1.465895268646713e-05
364352000000,2.960869488097754e-05
364353000000,9.195516166276885e-06
364354000000,1.4655566553500231e-05
364355000000,2.9614584512706226e-05
364356000000,9.195403025960452e-06
364357000000,1.4652183942774276e-05
364358000000,2.96204682146669e-05
364359000000,9.195290213627023e-06
364360000000,1.4648804850655096e-05
364361000000,2.9626345991467705e-05
364362000000,9.195177727118632e-06
364363000000,1.4645429272948874e-05
364364000000,2.963221784834975e-05
364365000000,9.195065564088383e-06
364366000000,1.4642057205419499e-05
364367000000,2.9638083790704874e-05
364368000000,9.194953720829421e-06
364369000000,1.4638688643345467e-05
364370000000,2.964394382296448e-05
364371000000,9.194842196119283e-06
364372000000,1.4635323583204514e-05
364373000000,2.9649797950869565e-05
364374000000,9.194730986245888e-06
364375000000,1.4631962019162329e-05
364376000000,2.9655646178657585e-05
364377000000,9.194620088847044e-06
364378000000,1.4628603946909583e-05
364379000000,2.9661488512933565e-05
364380000000,9.194509501845608e-06
364381000000,1.4625249363960224e-05
364382000000,2.966732495656313e-05
364383000000,9.194399221850413e-06
364384000000,1.4621898264697687e-05
364385000000,2.9673155516704178e-05
364386000000,9.194289246632737e-06
364387000000,1.4618550644474135e-05
364388000000,2.9678980197555727e-05
364389000000,9.194179573852513e-06
364390000000,1.4615206500178293e-05
364391000000,2.968479900449082e-05
364392000000,9.19407020050728e-06
364393000000,1.4611865826411938e-05
364394000000,2.9690611941924402e-05
364395000000,9.193961124707933e-06
364396000000,1.4608528619231616e-05
364397000000,2.969641901576166e-05
364398000000,9.19385234315545e-06
364399000000,1.4605194873665556e-05
364400000000,2.970222023205329e-05
364401000000,9.193743853930474e-06
364402000000,1.4601864583494205e-05
364403000000,2.970801559875805e-05
364404000000,9.193635653227872e-06
364405000000,1.4598537747251049e-05
364406000000,2.971380511703348e-05
364407000000,9.193527736801436e-06
364408000000,1.4595214362798015e-05
364409000000,2.971958879005867e-05
364410000000,9.193420104366806e-06
364411000000,1.4591894423266069e-05
364412000000,2.97253666247397e-05
364413000000,9.193312753633048e-06
364414000000,1.4588577924354704e-05
364415000000,2.973113862609202e-05
364416000000,9.19320568250663e-06
364417000000,1.458526486171075e-05
364418000000,2.973690479849392e-05
364419000000,9.193098888069969e-06
364420000000,1.4581955230787024e-05
364421000000,2.9742665148039648e-05
364422000000,9.192992367706216e-06
364423000000,1.4578649028524248e-05
364424000000,2.974841967975748e-05
364425000000,9.19288611933644e-06
364426000000,1.4575346249037785e-05
364427000000,2.9754168398261732e-05
364428000000,9.19278014036866e-06
364429000000,1.4572046888842352e-05
364430000000,2.975991130906684e-05
364431000000,9.192674428974528e-06
364432000000,1.4568750943497737e-05
364433000000,2.9765648416835403e-05
364434000000,9.192568981642208e-06
364435000000,1.4565458408805466e-05
364436000000,2.977137972655941e-05
364437000000,9.192463796365377e-06
364438000000,1.4562169280499207e-05
364439000000,2.977710524389385e-05
364440000000,9.192358870752916e-06
364441000000,1.4558883554086847e-05
364442000000,2.978282497396278e-05
364443000000,9.192254202501625e-06
364444000000,1.4555601225204352e-05
364445000000,2.9788538921878918e-05
364446000000,9.192149789314488e-06
364447000000,1.4552322289686545e-05
364448000000,2.979424709191846e-05
364449000000,9.192045628124295e-06
364450000000,1.454904674338958e-05
364451000000,2.9799949489756405e-05
364452000000,9.19194171715833e-06
364453000000,1.4545774582318134e-05
364454000000,2.9805646119779895e-05
364455000000,9.19183805339018e-06
364456000000,1.4542505801283069e-05
364457000000,2.9811336988292587e-05
364458000000,9.19173463501192e-06
364459000000,1.4539240397534025e-05
364460000000,2.981702209947557e-05
364461000000,9.191631459961035e-06
364462000000,1.4535978365417104e-05
364463000000,2.982270145914863e-05
364464000000,9.191528525327525e-06
364465000000,1.4532719700654976e-05
364466000000,2.982837507204651e-05
364466000000,9.191425828543483e-06
364468000000,1.4529464400670557e-05
364468000000,2.9834042943379995e-05
364471000000,9.191323367748306e-06
364471000000,1.4526212459203594e-05
364472000000,2.9839705077591395e-05
364473000000,9.19122114001435e-06
364474000000,1.4522963872917365e-05
364475000000,2.9845361480619133e-05
364476000000,9.191119144028542e-06
364477000000,1.4519718637971555e-05
364478000000,2.9851012156694894e-05
364479000000,9.191017375974558e-06
364480000000,1.4516476749490625e-05
364481000000,2.985665711165293e-05
364482000000,9.190915834810899e-06
364483000000,1.451323820308109e-05
364484000000,2.9862296349860768e-05
364485000000,9.190814517806669e-06
364485000000,1.4510002995610743e-05
364487000000,2.986792987811373e-05
364488000000,9.19071342269809e-06
364489000000,1.4506771121731898e-05
364490000000,2.9873557699486026e-05
364491000000,9.190612546903181e-06
364492000000,1.450354257789827e-05
364493000000,2.9879179820164326e-05
364494000000,9.190511888368507e-06
364495000000,1.4500317358955238e-05
364496000000,2.988479624481806e-05
364497000000,9.190411444818305e-06
364497000000,1.4497095462393888e-05
364499000000,2.98904069780787e-05
364500000000,9.190311213605312e-06
